top - 15:13:48 up 48 days, 19:21,  3 users,  load average: 9.52, 9.26, 7.18
Tasks: 881 total,   6 running, 875 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.7 us, 17.4 sy,  0.0 ni, 63.5 id,  0.0 wa,  0.6 hi,  3.9 si,  0.0 st 
MiB Mem :  31223.2 total,    603.5 free,  22949.8 used,   8398.2 buff/cache     
MiB Swap:   8192.0 total,   4376.5 free,   3815.5 used.   8273.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    177 root      20   0       0      0      0 S   0.0   0.0   1:05.26 ksoftir+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    180 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/18
    181 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    182 root      -2   0       0      0      0 S   0.0   0.0   0:02.07 irq_wor+
    183 root      rt   0       0      0      0 S   0.0   0.0   2:34.41 migrati+
    184 root      -2   0       0      0      0 S   0.0   0.0   1:05.76 rcuc/18
    185 root      -2   0       0      0      0 S   0.0   0.0   7:45.70 ktimers+
    186 root      20   0       0      0      0 S   0.0   0.0   1:19.54 ksoftir+
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    189 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/19
    190 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    191 root      -2   0       0      0      0 S   0.0   0.0   0:02.10 irq_wor+
    192 root      rt   0       0      0      0 S   0.0   0.0   1:47.97 migrati+
    193 root      -2   0       0      0      0 S   0.0   0.0   1:20.52 rcuc/19
    194 root      -2   0       0      0      0 S   0.0   0.0   7:51.86 ktimers+
    195 root      20   0       0      0      0 S   0.0   0.0   1:31.63 ksoftir+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/20
    199 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    200 root      -2   0       0      0      0 S   0.0   0.0   0:02.04 irq_wor+
    201 root      rt   0       0      0      0 S   0.0   0.0   2:31.59 migrati+
    202 root      -2   0       0      0      0 S   0.0   0.0   1:11.31 rcuc/20
    203 root      -2   0       0      0      0 S   0.0   0.0   8:08.03 ktimers+
    204 root      20   0       0      0      0 S   0.0   0.0   1:23.39 ksoftir+
    206 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    207 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/21
    208 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    209 root      -2   0       0      0      0 S   0.0   0.0   0:01.96 irq_wor+
    210 root      rt   0       0      0      0 S   0.0   0.0   1:28.21 migrati+
    211 root      -2   0       0      0      0 S   0.0   0.0   1:48.00 rcuc/21
    212 root      -2   0       0      0      0 R   0.0   0.0   7:33.77 ktimers+
    213 root      20   0       0      0      0 S   0.0   0.0   1:57.03 ksoftir+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/22
    217 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    218 root      -2   0       0      0      0 S   0.0   0.0   0:02.01 irq_wor+
    219 root      rt   0       0      0      0 S   0.0   0.0   4:50.19 migrati+
    220 root      -2   0       0      0      0 S   0.0   0.0   1:01.68 rcuc/22
    221 root      -2   0       0      0      0 S   0.0   0.0   8:27.22 ktimers+
    222 root      20   0       0      0      0 S   0.0   0.0   1:09.59 ksoftir+
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/23
    226 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    227 root      -2   0       0      0      0 S   0.0   0.0   0:01.99 irq_wor+
    228 root      rt   0       0      0      0 S   0.0   0.0   3:29.90 migrati+
    229 root      -2   0       0      0      0 S   0.0   0.0   0:58.04 rcuc/23
    230 root      -2   0       0      0      0 R   0.0   0.0   8:32.72 ktimers+
    231 root      20   0       0      0      0 R   0.0   0.0   1:04.60 ksoftir+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    239 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    241 root      20   0       0      0      0 S   0.0   0.0   0:05.99 khungta+
    243 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    245 root      20   0       0      0      0 S   0.0   0.0   5:05.56 kcompac+
    246 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    250 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
